   0.00000000E+00   0.35262783E+00   0.20810823E+00   0.35262783E+00   0.20810823E+00
   0.20000000E-02   0.36321920E+00   0.21435887E+00   0.36321920E+00   0.21435887E+00
   0.40000000E-02   0.37591802E+00   0.22185326E+00   0.37591802E+00   0.22185326E+00
   0.60000000E-02   0.38314355E+00   0.22611750E+00   0.38314355E+00   0.22611750E+00
   0.80000000E-02   0.39105604E+00   0.23078717E+00   0.39105604E+00   0.23078717E+00
   0.10000000E-01   0.40143278E+00   0.23691115E+00   0.40143278E+00   0.23691115E+00
   0.12000000E-01   0.40510523E+00   0.23907850E+00   0.40510523E+00   0.23907850E+00
   0.14000000E-01   0.40759659E+00   0.24054881E+00   0.40759659E+00   0.24054881E+00
   0.16000000E-01   0.41551484E+00   0.24522187E+00   0.41551484E+00   0.24522187E+00
   0.18000000E-01   0.42281324E+00   0.24952912E+00   0.42281324E+00   0.24952912E+00
   0.20000000E-01   0.42423320E+00   0.25036714E+00   0.42423320E+00   0.25036714E+00
   0.22000000E-01   0.42410807E+00   0.25029329E+00   0.42410807E+00   0.25029329E+00
   0.24000000E-01   0.42412702E+00   0.25030447E+00   0.42412702E+00   0.25030447E+00
   0.26000000E-01   0.42689828E+00   0.25193997E+00   0.42689828E+00   0.25193997E+00
   0.28000000E-01   0.43451720E+00   0.25643638E+00   0.43451720E+00   0.25643638E+00
   0.30000000E-01   0.43857587E+00   0.25883166E+00   0.43857587E+00   0.25883166E+00
   0.32000000E-01   0.43880914E+00   0.25896933E+00   0.43880914E+00   0.25896933E+00
   0.34000000E-01   0.43801035E+00   0.25849791E+00   0.43801035E+00   0.25849791E+00
   0.36000000E-01   0.43695823E+00   0.25787699E+00   0.43695823E+00   0.25787699E+00
   0.38000000E-01   0.43585061E+00   0.25722331E+00   0.43585061E+00   0.25722331E+00
   0.40000000E-01   0.43477058E+00   0.25658591E+00   0.43477058E+00   0.25658591E+00
   0.42000000E-01   0.43382480E+00   0.25602775E+00   0.43382480E+00   0.25602775E+00
   0.44000000E-01   0.43330266E+00   0.25571960E+00   0.43330266E+00   0.25571960E+00
   0.46000000E-01   0.43399728E+00   0.25612954E+00   0.43399728E+00   0.25612954E+00
   0.48000000E-01   0.43718123E+00   0.25800860E+00   0.43718123E+00   0.25800860E+00
   0.50000000E-01   0.44205673E+00   0.26088594E+00   0.44205673E+00   0.26088594E+00
   0.52000000E-01   0.44511939E+00   0.26269341E+00   0.44511939E+00   0.26269341E+00
   0.54000000E-01   0.44586365E+00   0.26313265E+00   0.44586365E+00   0.26313265E+00
   0.56000000E-01   0.44551259E+00   0.26292546E+00   0.44551259E+00   0.26292546E+00
   0.58000000E-01   0.44476538E+00   0.26248448E+00   0.44476538E+00   0.26248448E+00
   0.60000000E-01   0.44388934E+00   0.26196748E+00   0.44388934E+00   0.26196748E+00
   0.62000000E-01   0.44298432E+00   0.26143337E+00   0.44298432E+00   0.26143337E+00
   0.64000000E-01   0.44209000E+00   0.26090558E+00   0.44209000E+00   0.26090558E+00
   0.66000000E-01   0.44122313E+00   0.26039398E+00   0.44122313E+00   0.26039398E+00
   0.68000000E-01   0.44039080E+00   0.25990277E+00   0.44039080E+00   0.25990277E+00
   0.70000000E-01   0.43959569E+00   0.25943352E+00   0.43959569E+00   0.25943352E+00
   0.72000000E-01   0.43883824E+00   0.25898650E+00   0.43883824E+00   0.25898650E+00
   0.74000000E-01   0.43811771E+00   0.25856127E+00   0.43811771E+00   0.25856127E+00
